t	real_E_t	imag_E_t
-8.00097668172384e-12	0	0
-7.99902331827616e-12	0	0
-7.99706995482847e-12	0	0
-7.99511659138078e-12	0	0
-7.9931632279331e-12	0	0
-7.99120986448541e-12	0	0
-7.98925650103772e-12	0	0
-7.98730313759004e-12	0	0
-7.98534977414235e-12	0	0
-7.98339641069467e-12	0	0
-7.98144304724698e-12	0	0
-7.97948968379929e-12	0	0
-7.97753632035161e-12	0	0
-7.97558295690392e-12	0	0
-7.97362959345623e-12	0	0
-7.97167623000855e-12	0	0
-7.96972286656086e-12	0	0
-7.96776950311317e-12	0	0
-7.96581613966549e-12	0	0
-7.9638627762178e-12	0	0
-7.96190941277011e-12	0	0
-7.95995604932243e-12	0	0
-7.95800268587474e-12	0	0
-7.95604932242705e-12	0	0
-7.95409595897937e-12	0	0
-7.95214259553168e-12	0	0
-7.95018923208399e-12	0	0
-7.94823586863631e-12	0	0
-7.94628250518862e-12	0	0
-7.94432914174093e-12	0	0
-7.94237577829325e-12	0	0
-7.94042241484556e-12	0	0
-7.93846905139788e-12	0	0
-7.93651568795019e-12	0	0
-7.9345623245025e-12	0	0
-7.93260896105482e-12	0	0
-7.93065559760713e-12	0	0
-7.92870223415944e-12	0	0
-7.92674887071176e-12	0	0
-7.92479550726407e-12	0	0
-7.92284214381638e-12	0	0
-7.9208887803687e-12	0	0
-7.91893541692101e-12	0	0
-7.91698205347332e-12	0	0
-7.91502869002564e-12	0	0
-7.91307532657795e-12	0	0
-7.91112196313027e-12	0	0
-7.90916859968258e-12	0	0
-7.90721523623489e-12	0	0
-7.90526187278721e-12	0	0
-7.90330850933952e-12	0	0
-7.90135514589183e-12	0	0
-7.89940178244415e-12	0	0
-7.89744841899646e-12	0	0
-7.89549505554877e-12	0	0
-7.89354169210109e-12	0	0
-7.8915883286534e-12	0	0
-7.88963496520571e-12	0	0
-7.88768160175803e-12	0	0
-7.88572823831034e-12	0	0
-7.88377487486265e-12	0	0
-7.88182151141497e-12	0	0
-7.87986814796728e-12	0	0
-7.8779147845196e-12	0	0
-7.87596142107191e-12	0	0
-7.87400805762422e-12	0	0
-7.87205469417654e-12	0	0
-7.87010133072885e-12	0	0
-7.86814796728116e-12	0	0
-7.86619460383348e-12	0	0
-7.86424124038579e-12	0	0
-7.8622878769381e-12	0	0
-7.86033451349042e-12	0	0
-7.85838115004273e-12	0	0
-7.85642778659504e-12	0	0
-7.85447442314736e-12	0	0
-7.85252105969967e-12	0	0
-7.85056769625198e-12	0	0
-7.8486143328043e-12	0	0
-7.84666096935661e-12	0	0
-7.84470760590892e-12	0	0
-7.84275424246124e-12	0	0
-7.84080087901355e-12	0	0
-7.83884751556586e-12	0	0
-7.83689415211818e-12	0	0
-7.83494078867049e-12	0	0
-7.83298742522281e-12	0	0
-7.83103406177512e-12	0	0
-7.82908069832743e-12	0	0
-7.82712733487975e-12	0	0
-7.82517397143206e-12	0	0
-7.82322060798437e-12	0	0
-7.82126724453669e-12	0	0
-7.819313881089e-12	0	0
-7.81736051764131e-12	0	0
-7.81540715419363e-12	0	0
-7.81345379074594e-12	0	0
-7.81150042729825e-12	0	0
-7.80954706385057e-12	0	0
-7.80759370040288e-12	0	0
-7.80564033695519e-12	0	0
-7.80368697350751e-12	0	0
-7.80173361005982e-12	0	0
-7.79978024661214e-12	0	0
-7.79782688316445e-12	0	0
-7.79587351971676e-12	0	0
-7.79392015626908e-12	0	0
-7.79196679282139e-12	0	0
-7.7900134293737e-12	0	0
-7.78806006592602e-12	0	0
-7.78610670247833e-12	0	0
-7.78415333903064e-12	0	0
-7.78219997558296e-12	0	0
-7.78024661213527e-12	0	0
-7.77829324868758e-12	0	0
-7.7763398852399e-12	0	0
-7.77438652179221e-12	0	0
-7.77243315834453e-12	0	0
-7.77047979489684e-12	0	0
-7.76852643144915e-12	0	0
-7.76657306800147e-12	0	0
-7.76461970455378e-12	0	0
-7.76266634110609e-12	0	0
-7.76071297765841e-12	0	0
-7.75875961421072e-12	0	0
-7.75680625076303e-12	0	0
