omega	real_E_omega	imag_E_omega
220488840329190	0	0
220881491473989	0	-3.88128682971001e-07
221274142618788	0	6.36093318462372e-07
221666793763587	0	3.68803739547729e-07
222059444908386	-3.814697265625e-06	-4.45172190666199e-07
222452096053185	0	-5.33647835254669e-07
222844747197984	0	-3.27825546264648e-07
223237398342783	-1.9073486328125e-06	7.54371285438538e-08
223630049487583	0	9.35979187488556e-07
224022700632381	0	-1.86264514923096e-08
224415351777181	0	-2.04890966415405e-08
224808002921980	-1.9073486328125e-06	3.74391674995422e-07
225200654066779	-3.814697265625e-06	-2.47731804847717e-07
225593305211578	0	-3.85567545890808e-07
225985956356377	0	-4.84287738800049e-08
226378607501176	0	6.01634383201599e-07
226771258645975	-1.9073486328125e-06	-2.96160578727722e-07
227163909790774	0	-2.88709998130798e-07
227556560935573	0	1.39698386192322e-07
227949212080372	0	-1.58324837684631e-07
228341863225171	0	2.03028321266174e-07
228734514369970	0	-2.60770320892334e-08
229127165514769	0	-1.97440385818481e-07
229519816659568	9.5367431640625e-07	2.01165676116943e-07
229912467804367	0	-4.17232513427734e-07
230305118949166	9.5367431640625e-07	6.14672899246216e-07
230697770093965	-9.5367431640625e-07	4.20957803726196e-07
231090421238764	0	2.30967998504639e-07
231483072383563	0	3.42726707458496e-07
231875723528362	0	-1.52736902236938e-07
232268374673161	0	5.51342964172363e-07
232661025817961	0	6.33299350738525e-07
233053676962759	0	2.5331974029541e-07
233446328107559	0	-1.78813934326172e-07
233838979252358	0	-1.49011611938477e-07
234231630397157	0	5.62518835067749e-07
234624281541956	0	-3.72529029846191e-07
235016932686755	0	2.68220901489258e-07
235409583831554	0	2.55182385444641e-07
235802234976353	0	-1.11758708953857e-07
236194886121152	0	6.10947608947754e-07
236587537265951	0	4.93600964546204e-07
236980188410750	9.5367431640625e-07	-2.79396772384644e-08
237372839555549	0	1.19209289550781e-07
237765490700348	0	7.45058059692383e-09
238158141845147	4.76837158203125e-07	-1.7508864402771e-07
238550792989946	0	1.84401869773865e-07
