t_laura        	Et_real        	Et_imag        	Et_abs         
-8.000000000000000e-12	1.119077371854785e-14	1.085927859324854e-13	1.091678825158679e-13
-7.980000000000000e-12	-1.409069389011176e-13	1.132082803493480e-13	1.807508787534375e-13
-7.959999999999999e-12	-1.585515825338720e-13	-7.285049967767441e-14	1.744872477497484e-13
-7.940000000000000e-12	-5.615262245598965e-14	-1.315300097475066e-13	1.430148959824259e-13
-7.920000000000000e-12	-9.064070840098936e-14	-1.297914207425140e-13	1.583084044445951e-13
-7.900000000000000e-12	1.003115783396386e-13	-6.131243246303578e-14	1.175654163583992e-13
-7.880000000000000e-12	3.069352175253464e-13	1.133823950575076e-13	3.272075721408483e-13
-7.859999999999999e-12	2.627368971192695e-13	7.139931655375766e-14	2.722655679886924e-13
-7.840000000000001e-12	2.337215232366500e-15	7.261406994513594e-14	7.265167395896327e-14
-7.820000000000000e-12	-3.259433240945737e-13	9.350069500967445e-14	3.390891188008139e-13
-7.800000000000000e-12	-4.629481234061465e-13	2.168992532821835e-13	5.112399153427298e-13
-7.780000000000000e-12	-3.066265804193222e-13	5.880386732061646e-13	6.631812278749402e-13
-7.759999999999999e-12	2.017087426865120e-13	8.286229168446449e-13	8.528202361554871e-13
-7.740000000000001e-12	6.922444241010294e-13	6.677898100688938e-13	9.618448799732809e-13
-7.720000000000000e-12	9.348002854875645e-13	3.237665276103828e-13	9.892807175663118e-13
-7.700000000000000e-12	9.516021848471106e-13	1.992062307060039e-13	9.722293148007255e-13
-7.680000000000000e-12	7.357812581699824e-13	2.379377233169257e-13	7.732971098170767e-13
-7.659999999999999e-12	3.348258308916616e-13	3.812315360033336e-13	5.073911913659446e-13
-7.640000000000001e-12	2.644439138554482e-14	7.943562841906403e-13	7.947963337037441e-13
-7.620000000000000e-12	-1.812175589210692e-13	6.287941167519682e-13	6.543866173167045e-13
-7.600000000000000e-12	-1.172566798121740e-13	-2.273056355341688e-13	2.557674351948798e-13
-7.580000000000000e-12	9.170196901442480e-14	-1.094822751832469e-12	1.098656501847207e-12
-7.559999999999999e-12	5.043040612151972e-13	-1.249718564651646e-12	1.347634622957244e-12
-7.540000000000001e-12	6.415743371442639e-13	-9.472212539373258e-13	1.144047959655845e-12
-7.520000000000000e-12	3.007890818052985e-13	-8.485123840435151e-13	9.002484865904992e-13
-7.500000000000000e-12	-7.000463246898161e-13	-1.013069965416567e-12	1.231412039709229e-12
-7.480000000000000e-12	-8.789533214366645e-13	-8.781284162193282e-13	1.242444548716928e-12
-7.459999999999999e-12	-8.483582313312461e-13	-1.323877986771190e-12	1.572375468049797e-12
-7.440000000000001e-12	-9.067963994214117e-13	-1.155147685774325e-12	1.468552309573416e-12
-7.420000000000000e-12	1.192895530657165e-13	4.158833980973220e-13	4.326534390058560e-13
-7.400000000000000e-12	3.448438944332755e-13	2.579766517188309e-13	4.306614265986298e-13
-7.380000000000000e-12	-1.929162891088611e-12	-1.146211395859584e-14	1.929196941841286e-12
-7.359999999999999e-12	-3.806460885285464e-12	9.735917160684090e-13	3.928998002138106e-12
-7.340000000000001e-12	-2.147564138230402e-12	1.970217344260620e-13	2.156582781079721e-12
-7.320000000000000e-12	1.239396309931481e-12	9.118024303694822e-14	1.242745770377855e-12
-7.300000000000000e-12	2.340267016040814e-13	7.196481143100902e-13	7.567442801196150e-13
-7.280000000000000e-12	-4.609765653643227e-12	-2.119106092881629e-12	5.073514562351902e-12
-7.260000000000000e-12	-7.608004765233604e-12	-4.836963776842866e-12	9.015428724487108e-12
-7.240000000000000e-12	-4.524183185712647e-12	-2.577708298009911e-12	5.206996597609239e-12
-7.220000000000000e-12	-2.874844300578687e-12	3.794031862625614e-12	4.760189862514745e-12
-7.200000000000000e-12	-7.878266559743873e-12	8.672753981287767e-12	1.171681465272543e-11
-7.180000000000000e-12	-1.517329758729267e-11	4.180152636827041e-12	1.573857159146642e-11
-7.160000000000000e-12	-1.973562919519640e-11	-6.728941155533465e-12	2.085122799273272e-11
-7.140000000000000e-12	-5.465254276891406e-12	-1.221476814126340e-11	1.338168767592127e-11
-7.120000000000000e-12	1.713728071996447e-11	-2.807805948945456e-11	3.289473841160946e-11
-7.100000000000000e-12	6.503940428299265e-12	-4.412260996388792e-11	4.459939406673869e-11
-7.080000000000000e-12	-1.569223887250224e-11	-3.057617858373388e-11	3.436784918519134e-11
-7.060000000000000e-12	-1.221639361401428e-11	-2.583296618024267e-11	2.857590619039212e-11
-7.040000000000000e-12	-1.862655852826330e-11	-3.152275278690596e-11	3.661465042672408e-11
-7.020000000000000e-12	-3.434518160236869e-11	-4.401438243006313e-12	3.462606183074655e-11
-7.000000000000000e-12	-4.577325310846426e-11	1.618823021677429e-11	4.855151385572665e-11
-6.980000000000000e-12	-6.395783601240928e-11	-8.340909108881362e-12	6.449942288232397e-11
-6.960000000000000e-12	-8.070430698074713e-11	-6.127379858134519e-11	1.013294802011237e-10
-6.940000000000000e-12	-5.997155352455528e-11	-1.086546478271382e-10	1.241064854332279e-10
-6.920000000000000e-12	1.121176052345046e-11	-1.592856270161023e-10	1.596797249119251e-10
-6.900000000000000e-12	8.147688581343223e-11	-1.722461173700379e-10	1.905445036491684e-10
-6.880000000000000e-12	1.362462814782941e-10	-1.058863115962727e-10	1.725542239417091e-10
-6.860000000000000e-12	1.799899449398258e-10	-2.815014011440830e-11	1.821779642764249e-10
-6.840000000000000e-12	1.666457475522816e-10	2.759933601045331e-11	1.689157438650307e-10
-6.820000000000000e-12	7.991100770480655e-11	8.017920875044274e-11	1.132010365157701e-10
-6.800000000000000e-12	-4.949043017609887e-11	1.143555589124648e-10	1.246053631799110e-10
-6.780000000000000e-12	-1.353755976829551e-10	1.088760146560959e-10	1.737254702552614e-10
-6.760000000000000e-12	-1.068097826986205e-10	4.727646327742606e-11	1.168049385092443e-10
-6.740000000000000e-12	-6.626186350448931e-12	9.660271246776820e-12	1.171440080039003e-11
-6.720000000000000e-12	1.048837984638030e-10	-2.081965360155898e-13	1.048840051008411e-10
