# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
850.000	25
850.171	28
850.342	27
850.513	24
850.684	27
850.855	33
851.026	31
851.197	25
851.368	25
851.539	29
851.710	29
851.881	29
852.052	25
852.223	27
852.394	27
852.565	29
852.736	26
852.907	23
853.078	29
853.249	26
853.420	28
853.591	24
853.762	26
853.933	27
854.104	27
854.275	26
854.446	29
854.617	33
854.787	28
854.958	30
855.129	25
855.300	30
855.471	27
855.642	28
855.813	25
855.984	30
856.155	32
856.326	27
856.497	25
856.668	32
856.839	26
857.010	31
857.181	26
857.352	29
857.523	23
857.694	26
857.865	25
858.036	26
858.207	29
858.378	31
858.549	28
858.720	32
858.891	29
859.062	25
859.233	34
859.404	25
859.575	30
859.746	24
859.917	30
860.088	23
860.259	30
860.430	28
860.601	27
860.772	24
860.943	26
861.114	30
861.285	30
861.456	26
861.627	34
861.798	31
861.969	31
862.140	24
862.311	28
862.482	23
862.653	28
862.824	28
862.995	24
863.166	31
863.337	25
863.508	28
863.679	33
863.850	23
864.021	27
864.191	25
864.362	28
864.533	33
864.704	29
864.875	27
865.046	25
865.217	25
865.388	27
865.559	28
865.730	26
865.901	25
866.072	25
866.243	25
866.414	26
866.585	26
866.756	29
866.927	29
867.098	23
867.269	27
867.440	27
867.611	26
867.782	29
867.953	35
868.124	25
868.295	27
868.466	25
868.637	30
868.808	36
868.979	33
869.150	28
869.321	25
869.492	27
869.663	25
869.834	30
870.005	27
870.176	27
870.347	26
870.518	27
870.689	29
870.860	25
871.031	27
871.202	28
871.373	27
871.544	28
871.715	27
871.886	28
872.057	27
872.228	30
872.399	27
872.570	28
872.741	30
872.912	25
873.083	25
873.254	28
873.425	24
873.596	32
873.766	26
873.937	32
874.108	27
874.279	24
874.450	33
874.621	28
874.792	27
874.963	31
875.134	23
875.305	27
875.476	28
875.647	22
875.818	29
875.989	26
876.160	31
876.331	28
876.502	28
876.673	28
876.844	27
877.015	28
877.186	28
877.357	29
877.528	25
877.699	27
877.870	24
878.041	26
878.212	22
878.383	35
878.554	27
878.725	34
878.896	27
879.067	27
879.238	26
879.409	25
879.580	27
879.751	26
879.922	37
880.093	29
880.264	22
880.435	28
880.606	26
880.777	30
880.948	28
881.119	28
881.290	28
881.461	27
881.632	31
881.803	29
881.974	27
882.145	28
882.316	32
882.487	24
882.658	28
882.829	31
883.000	32
883.170	27
883.341	31
883.512	28
883.683	31
883.854	32
884.025	25
884.196	31
884.367	26
884.538	30
884.709	29
884.880	31
885.051	32
885.222	25
885.393	31
885.564	27
885.735	27
885.906	31
886.077	27
886.248	29
886.419	27
886.590	31
886.761	30
886.932	25
887.103	27
887.274	26
887.445	30
887.616	30
887.787	25
887.958	27
888.129	28
888.300	25
888.471	27
888.642	35
888.813	29
888.984	30
889.155	31
889.326	26
889.497	29
889.668	25
889.839	29
890.010	29
890.181	26
890.352	30
890.523	30
890.694	23
890.865	30
891.036	24
891.207	30
891.378	29
891.549	26
891.720	31
891.891	29
892.062	23
892.233	31
892.404	31
892.574	26
892.745	30
892.916	31
893.087	32
893.258	24
893.429	26
893.600	32
893.771	31
893.942	26
894.113	25
894.284	31
894.455	27
894.626	25
894.797	27
894.968	31
895.139	23
895.310	27
895.481	28
895.652	27
895.823	27
895.994	29
896.165	26
896.336	28
896.507	27
896.678	30
896.849	28
897.020	29
897.191	28
897.362	28
897.533	28
897.704	32
897.875	24
898.046	26
898.217	26
898.388	27
898.559	27
898.730	32
898.901	29
899.072	25
899.243	30
899.414	32
899.585	32
899.756	31
899.927	25
900.098	24
900.269	34
900.440	31
900.611	27
900.782	26
900.953	25
901.124	21
901.295	30
901.466	37
901.637	26
901.808	34
901.979	25
902.149	28
902.320	26
902.491	34
902.662	23
902.833	28
903.004	29
903.175	29
903.346	29
903.517	27
903.688	29
903.859	31
904.030	26
904.201	29
904.372	26
904.543	28
904.714	28
904.885	32
905.056	29
905.227	29
905.398	29
905.569	26
905.740	27
905.911	29
906.082	28
906.253	26
906.424	22
906.595	30
906.766	28
906.937	28
907.108	25
907.279	33
907.450	31
907.621	27
907.792	27
907.963	25
908.134	31
908.305	29
908.476	26
908.647	31
908.818	24
908.989	27
909.160	30
909.331	28
909.502	35
909.673	26
909.844	26
910.015	26
910.186	27
910.357	29
910.528	25
910.699	31
910.870	29
911.041	29
911.212	30
911.383	30
