m_wavelength	m_R	m_GDD
800.0	100	-579.717419
801.0	100	-361.413346
802.0	100	-221.427468
803.0	100	-132.489848
804.0	100	-77.495477
805.0	100	-45.297293
806.0	100	-28.334148
807.0	100	-21.224169
808.0	100	-19.871232
809.0	100	-20.838837
810.0	100	-20.84469
811.0	100	-16.270755
812.0	100	-2.587835
813.0	100	26.437318
814.0	100	79.968084
815.0	100	172.158054
816.0	100	325.850069
817.0	100	579.621979
818.0	100	579.621979
819.0	100	1721.721323
820.0	100	2989.051782
821.0	100	5309.468334
822.0	100	9573.997061
823.0	100	16122.413782
824.0	100	17148.44229
825.0	100	-4264.457111
826.0	100	-18810.503925
827.0	100	-14185.977364
828.0	100	-8188.73907
829.0	100	-4608.496558
830.0	100	-2648.141727
831.0	100	-1548.523446
832.0	100	-906.339609
833.0	100	-519.01356
834.0	100	-281.404761
835.0	100	-135.944833
836.0	100	-49.343871
837.0	100	-1.393808
838.0	100	20.677826
839.0	100	25.21834
840.0	100	17.854563
841.0	100	2.523943
842.0	100	-17.850495
843.0	100	-40.868404
844.0	100	-64.235621
845.0	100	-85.338224
846.0	100	-100.717319
847.0	100	-105.319023
848.0	100	-91.308024
849.0	100	-46.043254
850.0	100	51.61583
851.0	100	238.534
852.0	100	582.556668
853.0	100	1217.570837
854.0	100	2431.731136
855.0	100	4910.033447
856.0	100	10432.778046
857.0	100	23401.107853
858.0	100	43333.99291
859.0	100	-2155.119358
860.0	100	-43216.853857
861.0	100	-23018.118614
862.0	100	-10445.174435
863.0	100	-5016.645783
864.0	100	-2518.650746
865.0	100	-1256.44991
866.0	100	-573.789449
867.0	100	-191.707981
868.0	100	21.610942
869.0	100	134.642617
870.0	100	185.751866
871.0	100	197.621628
872.0	100	184.108848
873.0	100	153.79359
874.0	100	111.962405
875.0	100	61.792107
876.0	100	5.101886
877.0	100	-57.128206
878.0	100	-124.345713
879.0	100	-196.015189
880.0	100	-271.085221
881.0	100	-347.14474
882.0	100	-418.930278
883.0	100	-475.513479
884.0	100	-495.520741
885.0	100	-431.391957
886.0	100	-190.393512
887.0	100	443.28589
888.0	100	2017.76509
889.0	100	6217.247159
890.0	100	19798.538523
891.0	100	78576.801757
892.0	100	109335.872748
893.0	100	-134560.724715
894.0	100	-33597.076653
895.0	100	-10216.258363
896.0	100	-3433.244023
897.0	100	-861.633939
898.0	100	244.162191
899.0	100	716.930807
900.0	100	882.305908
901.0	100	891.638547
902.0	100	821.945727
903.0	100	713.388211
904.0	100	586.186504
905.0	100	449.181756
906.0	100	304.321883
907.0	100	148.869533
908.0	100	-23.838163
909.0	100	-224.73583
910.0	100	-470.458089
911.0	100	-786.064469
912.0	100	-1209.336313
913.0	100	-1796.085733
914.0	100	-2620.737669
915.0	100	-3740.432541
916.0	100	-4956.798011
