m_wavelength	m_R	m_GDD
800.0	59.59863	-30.0
802.0	56.34743	-30.0
804.0	52.67842	-30.0
806.0	49.42733	-30.0
808.0	47.87517	-30.0
810.0	49.19415	-30.0
812.0	53.51963	-30.0
814.0	59.71774	-30.0
816.0	66.25454	-30.0
818.0	72.0842	-30.0
820.0	76.81515	-30.0
822.0	80.45983	-30.0
824.0	83.18446	-30.0
826.0	85.17511	-30.0
828.0	86.58766	-30.0
830.0	87.53705	-30.0
832.0	88.10004	-30.0
834.0	88.32079	-30.0
836.0	88.21542	-30.0
838.0	87.77541	-30.0
840.0	86.97125	-30.0
842.0	85.76188	-30.0
844.0	84.12238	-30.0
846.0	82.11446	-30.0
848.0	80.02419	-30.0
850.0	78.50576	-30.0
852.0	78.43527	-30.0
854.0	80.22338	-30.0
856.0	83.29612	-30.0
858.0	86.62428	-30.0
860.0	89.5167	-30.0
862.0	91.76847	-30.0
864.0	93.43608	-30.0
866.0	94.64808	-30.0
868.0	95.52463	-30.0
870.0	96.1575	-30.0
872.0	96.61141	-30.0
874.0	96.93014	-30.0
876.0	97.14209	-30.0
878.0	97.2642	-30.0
880.0	97.30411	-30.0
882.0	97.26088	-30.0
884.0	97.12415	-30.0
886.0	96.87168	-30.0
888.0	96.46559	-30.0
890.0	95.8507	-30.0
892.0	94.97302	-30.0
894.0	93.88224	-30.0
896.0	93.01455	-30.0
898.0	93.26143	-30.0
900.0	94.77509	-30.0
902.0	96.50431	-30.0
904.0	97.7677	-30.0
906.0	98.55918	-30.0
908.0	99.04069	-30.0
910.0	99.33862	-30.0
912.0	99.5288	-30.0
914.0	99.65428	-30.0
916.0	99.73972	-30.0
918.0	99.79956	-30.0
920.0	99.84252	-30.0
922.0	99.87406	-30.0
924.0	99.89768	-30.0
926.0	99.91567	-30.0
928.0	99.92958	-30.0
930.0	99.9405	-30.0
932.0	99.94918	-30.0
934.0	99.95615	-30.0
936.0	99.96182	-30.0
938.0	99.96646	-30.0
940.0	99.9703	-30.0
942.0	99.97349	-30.0
944.0	99.97618	-30.0
946.0	99.97845	-30.0
948.0	99.98038	-30.0
950.0	99.98204	-30.0
952.0	99.98346	-30.0
954.0	99.98469	-30.0
956.0	99.98575	-30.0
958.0	99.98668	-30.0
960.0	99.9875	-30.0
962.0	99.98821	-30.0
964.0	99.98884	-30.0
966.0	99.9894	-30.0
968.0	99.98989	-30.0
970.0	99.99033	-30.0
972.0	99.99071	-30.0
974.0	99.99106	-30.0
976.0	99.99137	-30.0
978.0	99.99164	-30.0
980.0	99.99189	-30.0
982.0	99.9921	-30.0
984.0	99.9923	-30.0
986.0	99.99247	-30.0
988.0	99.99262	-30.0
990.0	99.99276	-30.0
992.0	99.99287	-30.0
994.0	99.99298	-30.0
996.0	99.99306	-30.0
998.0	99.99314	-30.0
1000.0	99.9932	-30.0
1002.0	99.99325	-30.0
1004.0	99.99329	-30.0
1006.0	99.99332	-30.0
1008.0	99.99334	-30.0
1010.0	99.99335	-30.0
1012.0	99.99335	-30.0
1014.0	99.99334	-30.0
1016.0	99.99332	-30.0
1018.0	99.99329	-30.0
1020.0	99.99325	-30.0
1022.0	99.9932	-30.0
1024.0	99.99315	-30.0
1026.0	99.99308	-30.0
1028.0	99.99301	-30.0
1030.0	99.99293	-30.0
1032.0	99.99283	-30.0
1034.0	99.99273	-30.0
1036.0	99.99262	-30.0
1038.0	99.99249	-30.0
1040.0	99.99236	-30.0
1042.0	99.99221	-30.0
1044.0	99.99206	-30.0
1046.0	99.99189	-30.0
1048.0	99.9917	-30.0
1050.0	99.99151	-30.0
1052.0	99.99129	-30.0
1054.0	99.99107	-30.0
1056.0	99.99083	-30.0
1058.0	99.99057	-30.0
1060.0	99.99029	-30.0
1062.0	99.98999	-30.0
1064.0	99.98967	-30.0
1066.0	99.98933	-30.0
1068.0	99.98897	-30.0
1070.0	99.98858	-30.0
1072.0	99.98816	-30.0
1074.0	99.98771	-30.0
1076.0	99.98724	-30.0
1078.0	99.98673	-30.0
1080.0	99.98618	-30.0
1082.0	99.98559	-30.0
1084.0	99.98496	-30.0
1086.0	99.98428	-30.0
1088.0	99.98356	-30.0
1090.0	99.98278	-30.0
1092.0	99.98194	-30.0
1094.0	99.98103	-30.0
1096.0	99.98005	-30.0
1098.0	99.979	-30.0
1100.0	99.97786	-30.0
1102.0	99.97664	-30.0
1104.0	99.9753	-30.0
1106.0	99.97386	-30.0
1108.0	99.9723	-30.0
1110.0	99.9706	-30.0
1112.0	99.96876	-30.0
1114.0	99.96675	-30.0
1116.0	99.96456	-30.0
1118.0	99.96217	-30.0
1120.0	99.95956	-30.0
1122.0	99.9567	-30.0
1124.0	99.95357	-30.0
1126.0	99.95013	-30.0
1128.0	99.94635	-30.0
1130.0	99.94219	-30.0
1132.0	99.9376	-30.0
1134.0	99.93253	-30.0
1136.0	99.92691	-30.0
1138.0	99.92069	-30.0
1140.0	99.91378	-30.0
1142.0	99.90609	-30.0
1144.0	99.89751	-30.0
1146.0	99.88792	-30.0
1148.0	99.87719	-30.0
1150.0	99.86513	-30.0
1152.0	99.85157	-30.0
1154.0	99.83627	-30.0
1156.0	99.81897	-30.0
1158.0	99.79936	-30.0
1160.0	99.77706	-30.0
1162.0	99.75163	-30.0
1164.0	99.72255	-30.0
1166.0	99.68919	-30.0
1168.0	99.65079	-30.0
1170.0	99.60645	-30.0
1172.0	99.55505	-30.0
1174.0	99.49527	-30.0
1176.0	99.42546	-30.0
1178.0	99.34361	-30.0
1180.0	99.24726	-30.0
1182.0	99.13333	-30.0
1184.0	98.99804	-30.0
1186.0	98.83663	-30.0
1188.0	98.64319	-30.0
1190.0	98.41028	-30.0
1192.0	98.12856	-30.0
1194.0	97.78629	-30.0
1196.0	97.3688	-30.0
1198.0	96.85777	-30.0
1200.0	96.23069	-30.0
1202.0	95.46035	-30.0
1204.0	94.51497	-30.0
1206.0	93.35943	-30.0
1208.0	91.95859	-30.0
1210.0	90.28415	-30.0
1212.0	88.32601	-30.0
1214.0	86.1082	-30.0
1216.0	83.70573	-30.0
1218.0	81.25332	-30.0
1220.0	78.93425	-30.0
1222.0	76.94265	-30.0
1224.0	75.43024	-30.0
1226.0	74.46369	-30.0
1228.0	74.01559	-30.0
1230.0	73.98911	-30.0
1232.0	74.25716	-30.0
1234.0	74.69563	-30.0
1236.0	75.20178	-30.0
1238.0	75.69948	-30.0
1240.0	76.13657	-30.0
1242.0	76.47925	-30.0
1244.0	76.70639	-30.0
1246.0	76.80475	-30.0
1248.0	76.76547	-30.0
1250.0	76.58158	-30.0
1252.0	76.24632	-30.0
1254.0	75.75197	-30.0
1256.0	75.08901	-30.0
1258.0	74.24556	-30.0
1260.0	73.20685	-30.0
1262.0	71.95487	-30.0
1264.0	70.46805	-30.0
1266.0	68.72102	-30.0
1268.0	66.68461	-30.0
1270.0	64.32609	-30.0
1272.0	61.60996	-30.0
1274.0	58.49944	-30.0
1276.0	54.95925	-30.0
1278.0	50.96009	-30.0
1280.0	46.48535	-30.0
1282.0	41.54077	-30.0
1284.0	36.16695	-30.0
1286.0	30.45383	-30.0
1288.0	24.55468	-30.0
1290.0	18.69443	-30.0
1292.0	13.16557	-30.0
1294.0	8.30481	-30.0
1296.0	4.44849	-30.0
1298.0	1.87383	-30.0
1300.0	0.74301	-30.0
