m_wavelength	m_R	m_GDD
800.0	15.1244	0.0
801.0	17.2944	0.0
802.0	19.304	0.0
803.0	21.102	0.0
804.0	22.6498	0.0
805.0	23.9193	0.0
806.0	24.8907	0.0
807.0	25.5504	0.0
808.0	25.8896	0.0
809.0	25.9035	0.0
810.0	25.59	0.0
811.0	24.9503	0.0
812.0	23.9894	0.0
813.0	22.7169	0.0
814.0	21.149	0.0
815.0	19.3106	0.0
816.0	17.2383	0.0
817.0	14.9827	0.0
818.0	12.6118	0.0
819.0	10.2115	0.0
820.0	7.8857	0.0
821.0	5.7531	0.0
822.0	3.9392	0.0
823.0	2.5662	0.0
824.0	1.7393	0.0
825.0	1.5329	0.0
826.0	1.9796	0.0
827.0	3.0648	0.0
828.0	4.7288	0.0
829.0	6.8753	0.0
830.0	9.3842	0.0
831.0	12.1261	0.0
832.0	14.975	0.0
833.0	17.8176	0.0
834.0	20.5581	0.0
835.0	23.1204	0.0
836.0	25.4467	0.0
837.0	27.4953	0.0
838.0	29.2375	0.0
839.0	30.6538	0.0
840.0	31.7316	0.0
841.0	32.4625	0.0
842.0	32.8406	0.0
843.0	32.861	0.0
844.0	32.5193	0.0
845.0	31.8117	0.0
846.0	30.7352	0.0
847.0	29.289	0.0
848.0	27.4768	0.0
849.0	25.31	0.0
850.0	22.8116	0.0
851.0	20.0221	0.0
852.0	17.0054	0.0
853.0	13.8548	0.0
854.0	10.6982	0.0
855.0	7.6984	0.0
856.0	5.0469	0.0
857.0	2.9495	0.0
858.0	1.6011	0.0
859.0	1.1564	0.0
860.0	1.7003	0.0
861.0	3.2297	0.0
862.0	5.6525	0.0
863.0	8.8041	0.0
864.0	12.4765	0.0
865.0	16.4506	0.0
866.0	20.5225	0.0
867.0	24.5211	0.0
868.0	28.3146	0.0
869.0	31.8093	0.0
870.0	34.9448	0.0
871.0	37.6854	0.0
872.0	40.0136	0.0
873.0	41.9228	0.0
874.0	43.412	0.0
875.0	44.4821	0.0
876.0	45.1327	0.0
877.0	45.3597	0.0
878.0	45.1541	0.0
879.0	44.5008	0.0
880.0	43.3783	0.0
881.0	41.7594	0.0
882.0	39.6126	0.0
883.0	36.9058	0.0
884.0	33.6138	0.0
885.0	29.73	0.0
886.0	25.2867	0.0
887.0	20.3828	0.0
888.0	15.2206	0.0
889.0	10.1415	0.0
890.0	5.6417	0.0
891.0	2.3367	0.0
892.0	0.8464	0.0
893.0	1.614	0.0
894.0	4.7334	0.0
895.0	9.8907	0.0
896.0	16.466	0.0
897.0	23.7354	0.0
898.0	31.0561	0.0
899.0	37.9661	0.0
900.0	44.195	0.0
901.0	49.625	0.0
902.0	54.2384	0.0
903.0	58.0729	0.0
904.0	61.189	0.0
905.0	63.6505	0.0
906.0	65.512	0.0
907.0	66.8122	0.0
908.0	67.569	0.0
909.0	67.7745	0.0
910.0	67.3882	0.0
911.0	66.3268	0.0
912.0	64.4471	0.0
913.0	61.5193	0.0
914.0	57.1881	0.0
915.0	50.9266	0.0
916.0	42.0307	0.0
917.0	29.8678	0.0
918.0	15.0637	0.0
919.0	2.5933	0.0
920.0	3.1082	0.0
921.0	20.9216	0.0
922.0	44.7091	0.0
923.0	63.8162	0.0
924.0	76.4444	0.0
925.0	84.3415	0.0
926.0	89.2911	0.0
927.0	92.465	0.0
928.0	94.5587	0.0
929.0	95.9791	0.0
930.0	96.9682	0.0
931.0	97.6732	0.0
932.0	98.1862	0.0
933.0	98.5664	0.0
934.0	98.8529	0.0
935.0	99.072	0.0
936.0	99.2417	0.0
937.0	99.3747	0.0
938.0	99.4801	0.0
939.0	99.5644	0.0
940.0	99.6325	0.0
941.0	99.6879	0.0
942.0	99.7334	0.0
943.0	99.771	0.0
944.0	99.8022	0.0
945.0	99.8283	0.0
946.0	99.8503	0.0
947.0	99.8688	0.0
948.0	99.8846	0.0
949.0	99.8981	0.0
950.0	99.9097	0.0
951.0	99.9197	0.0
952.0	99.9283	0.0
953.0	99.9358	0.0
954.0	99.9423	0.0
955.0	99.948	0.0
956.0	99.953	0.0
957.0	99.9574	0.0
958.0	99.9613	0.0
959.0	99.9647	0.0
960.0	99.9678	0.0
961.0	99.9705	0.0
962.0	99.9729	0.0
963.0	99.9751	0.0
964.0	99.977	0.0
965.0	99.9788	0.0
966.0	99.9803	0.0
967.0	99.9818	0.0
968.0	99.983	0.0
969.0	99.9842	0.0
970.0	99.9853	0.0
971.0	99.9862	0.0
972.0	99.9871	0.0
973.0	99.9879	0.0
974.0	99.9886	0.0
975.0	99.9893	0.0
976.0	99.9899	0.0
977.0	99.9905	0.0
978.0	99.991	0.0
979.0	99.9915	0.0
980.0	99.9919	0.0
