m_wavelength	m_R	m_GDD
800.000000	59.598630	274.602000
802.000000	56.347430	440.228000
804.000000	52.678420	633.096000
806.000000	49.427330	675.624000
808.000000	47.875170	288.780000
810.000000	49.194150	-409.266000
812.000000	53.519630	-796.979000
814.000000	59.717740	-692.267000
816.000000	66.254540	-414.619000
818.000000	72.084200	-191.070000
820.000000	76.815150	-60.948700
822.000000	80.459830	2.845030
824.000000	83.184460	29.614200
826.000000	85.175110	37.931900
828.000000	86.587660	37.833100
830.000000	87.537050	34.464400
832.000000	88.100040	30.560500
834.000000	88.320790	27.907900
836.000000	88.215420	28.310100
838.000000	87.775410	34.462800
840.000000	86.971250	51.002100
842.000000	85.761880	85.525800
844.000000	84.122380	147.444000
846.000000	82.114460	236.492000
848.000000	80.024190	306.192000
850.000000	78.505760	230.500000
852.000000	78.435270	-58.859800
854.000000	80.223380	-335.249000
856.000000	83.296120	-366.554000
858.000000	86.624280	-243.502000
860.000000	89.516700	-120.803000
862.000000	91.768470	-46.125200
864.000000	93.436080	-9.858360
866.000000	94.648080	4.822540
868.000000	95.524630	8.995920
870.000000	96.157500	8.481520
872.000000	96.611410	6.069750
874.000000	96.930140	3.035420
876.000000	97.142090	-0.054386
878.000000	97.264200	-2.930930
880.000000	97.304110	-5.392720
882.000000	97.260880	-7.106100
884.000000	97.124150	-7.286890
886.000000	96.871680	-3.991510
888.000000	96.465590	7.556950
890.000000	95.850700	38.364400
892.000000	94.973020	107.467000
894.000000	93.882240	208.126000
896.000000	93.014550	163.971000
898.000000	93.261430	-192.645000
900.000000	94.775090	-330.827000
902.000000	96.504310	-173.053000
904.000000	97.767700	-53.652200
906.000000	98.559180	-10.664300
908.000000	99.040690	-1.165760
910.000000	99.338620	-2.162280
912.000000	99.528800	-5.627320
914.000000	99.654280	-9.171810
916.000000	99.739720	-12.215300
918.000000	99.799560	-14.710100
920.000000	99.842520	-16.742000
922.000000	99.874060	-18.411500
924.000000	99.897680	-19.804000
926.000000	99.915670	-20.984700
928.000000	99.929580	-22.002400
930.000000	99.940500	-22.892700
932.000000	99.949180	-23.681600
934.000000	99.956150	-24.388500
936.000000	99.961820	-25.027600
938.000000	99.966460	-25.609500
940.000000	99.970300	-26.142100
942.000000	99.973490	-26.631600
944.000000	99.976180	-27.082600
946.000000	99.978450	-27.498600
948.000000	99.980380	-27.882300
950.000000	99.982040	-28.236000
952.000000	99.983460	-28.561200
954.000000	99.984690	-28.859500
956.000000	99.985750	-29.131900
958.000000	99.986680	-29.379400
960.000000	99.987500	-29.602900
962.000000	99.988210	-29.803000
964.000000	99.988840	-29.980600
966.000000	99.989400	-30.136300
968.000000	99.989890	-30.270700
970.000000	99.990330	-30.384700
972.000000	99.990710	-30.478900
974.000000	99.991060	-30.554100
976.000000	99.991370	-30.611200
978.000000	99.991640	-30.651000
980.000000	99.991890	-30.674500
982.000000	99.992100	-30.682700
984.000000	99.992300	-30.676600
986.000000	99.992470	-30.657300
988.000000	99.992620	-30.626000
990.000000	99.992760	-30.584000
992.000000	99.992870	-30.532400
994.000000	99.992980	-30.472600
996.000000	99.993060	-30.405800
998.000000	99.993140	-30.333500
1000.000000	99.993200	-30.256800
1002.000000	99.993250	-30.177300
1004.000000	99.993290	-30.096100
1006.000000	99.993320	-30.014700
1008.000000	99.993340	-29.934200
1010.000000	99.993350	-29.856000
1012.000000	99.993350	-29.781100
1014.000000	99.993340	-29.710700
1016.000000	99.993320	-29.645800
1018.000000	99.993290	-29.587400
1020.000000	99.993250	-29.536200
1022.000000	99.993200	-29.493000
1024.000000	99.993150	-29.458400
1026.000000	99.993080	-29.432900
1028.000000	99.993010	-29.416900
1030.000000	99.992930	-29.410600
1032.000000	99.992830	-29.414000
1034.000000	99.992730	-29.427100
1036.000000	99.992620	-29.449800
1038.000000	99.992490	-29.481600
1040.000000	99.992360	-29.522100
1042.000000	99.992210	-29.570700
1044.000000	99.992060	-29.626500
1046.000000	99.991890	-29.688700
1048.000000	99.991700	-29.756300
1050.000000	99.991510	-29.828200
1052.000000	99.991290	-29.903000
1054.000000	99.991070	-29.979600
1056.000000	99.990830	-30.056500
1058.000000	99.990570	-30.132300
1060.000000	99.990290	-30.205600
1062.000000	99.989990	-30.274800
1064.000000	99.989670	-30.338400
1066.000000	99.989330	-30.395100
1068.000000	99.988970	-30.443400
1070.000000	99.988580	-30.482100
1072.000000	99.988160	-30.510000
1074.000000	99.987710	-30.526100
1076.000000	99.987240	-30.529500
1078.000000	99.986730	-30.519600
1080.000000	99.986180	-30.496200
1082.000000	99.985590	-30.459100
1084.000000	99.984960	-30.408500
1086.000000	99.984280	-30.345200
1088.000000	99.983560	-30.270300
1090.000000	99.982780	-30.185200
1092.000000	99.981940	-30.091900
1094.000000	99.981030	-29.993100
1096.000000	99.980050	-29.891900
1098.000000	99.979000	-29.792200
1100.000000	99.977860	-29.698300
1102.000000	99.976640	-29.615500
1104.000000	99.975300	-29.549900
1106.000000	99.973860	-29.508300
1108.000000	99.972300	-29.498500
1110.000000	99.970600	-29.529200
1112.000000	99.968760	-29.610200
1114.000000	99.966750	-29.752500
1116.000000	99.964560	-29.968100
1118.000000	99.962170	-30.270400
1120.000000	99.959560	-30.674300
1122.000000	99.956700	-31.196300
