m_wavelength	m_R	m_GDD
800.000000	15.124400	-579.717419
801.000000	17.294400	-361.413346
802.000000	19.304000	-221.427468
803.000000	21.102000	-132.489848
804.000000	22.649800	-77.495477
805.000000	23.919300	-45.297293
806.000000	24.890700	-28.334148
807.000000	25.550400	-21.224169
808.000000	25.889600	-19.871232
809.000000	25.903500	-20.838837
810.000000	25.590000	-20.844690
811.000000	24.950300	-16.270755
812.000000	23.989400	-2.587835
813.000000	22.716900	26.437318
814.000000	21.149000	79.968084
815.000000	19.310600	172.158054
816.000000	17.238300	325.850069
817.000000	14.982700	579.621979
818.000000	12.611800	579.621979
819.000000	10.211500	1721.721323
820.000000	7.885700	2989.051782
821.000000	5.753100	5309.468334
822.000000	3.939200	9573.997061
823.000000	2.566200	16122.413782
824.000000	1.739300	17148.442290
825.000000	1.532900	-4264.457111
826.000000	1.979600	-18810.503925
827.000000	3.064800	-14185.977364
828.000000	4.728800	-8188.739070
829.000000	6.875300	-4608.496558
830.000000	9.384200	-2648.141727
831.000000	12.126100	-1548.523446
832.000000	14.975000	-906.339609
833.000000	17.817600	-519.013560
834.000000	20.558100	-281.404761
835.000000	23.120400	-135.944833
836.000000	25.446700	-49.343871
837.000000	27.495300	-1.393808
838.000000	29.237500	20.677826
839.000000	30.653800	25.218340
840.000000	31.731600	17.854563
841.000000	32.462500	2.523943
842.000000	32.840600	-17.850495
843.000000	32.861000	-40.868404
844.000000	32.519300	-64.235621
845.000000	31.811700	-85.338224
846.000000	30.735200	-100.717319
847.000000	29.289000	-105.319023
848.000000	27.476800	-91.308024
849.000000	25.310000	-46.043254
850.000000	22.811600	51.615830
851.000000	20.022100	238.534000
852.000000	17.005400	582.556668
853.000000	13.854800	1217.570837
854.000000	10.698200	2431.731136
855.000000	7.698400	4910.033447
856.000000	5.046900	10432.778046
857.000000	2.949500	23401.107853
858.000000	1.601100	43333.992910
859.000000	1.156400	-2155.119358
860.000000	1.700300	-43216.853857
861.000000	3.229700	-23018.118614
